quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 ff07::abcd -s 100
PING ff07::abcd(ff07::abcd) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 100 data bytes
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=1 ttl=64 time=90.7 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=1 ttl=64 time=205 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=2 ttl=64 time=26.9 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=2 ttl=64 time=104 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=2 ttl=64 time=138 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=2 ttl=64 time=160 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=3 ttl=64 time=85.6 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=3 ttl=64 time=119 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=3 ttl=64 time=122 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=3 ttl=64 time=168 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=4 ttl=64 time=160 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=5 ttl=64 time=54.7 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=5 ttl=64 time=64.1 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=5 ttl=64 time=127 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=5 ttl=64 time=136 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=6 ttl=64 time=76.4 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=6 ttl=64 time=101 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=7 ttl=64 time=76.4 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=7 ttl=64 time=90.7 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=7 ttl=64 time=130 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=7 ttl=64 time=167 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=8 ttl=64 time=54.7 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=8 ttl=64 time=88.9 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=8 ttl=64 time=196 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=9 ttl=64 time=125 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=9 ttl=64 time=142 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=9 ttl=64 time=191 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=9 ttl=64 time=210 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=10 ttl=64 time=99.0 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=10 ttl=64 time=157 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=11 ttl=64 time=78.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=11 ttl=64 time=95.1 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=11 ttl=64 time=125 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=11 ttl=64 time=176 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=12 ttl=64 time=56.0 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=12 ttl=64 time=109 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=13 ttl=64 time=52.6 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=13 ttl=64 time=71.6 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=14 ttl=64 time=122 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=14 ttl=64 time=159 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=15 ttl=64 time=36.0 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=15 ttl=64 time=50.8 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=15 ttl=64 time=154 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=16 ttl=64 time=53.0 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=16 ttl=64 time=145 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=16 ttl=64 time=263 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=17 ttl=64 time=85.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=17 ttl=64 time=152 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=18 ttl=64 time=108 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=18 ttl=64 time=167 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=18 ttl=64 time=201 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=18 ttl=64 time=243 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=19 ttl=64 time=83.2 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=19 ttl=64 time=126 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=19 ttl=64 time=165 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=19 ttl=64 time=204 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=20 ttl=64 time=50.1 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=20 ttl=64 time=72.5 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=20 ttl=64 time=132 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=20 ttl=64 time=154 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=21 ttl=64 time=68.2 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=21 ttl=64 time=109 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=21 ttl=64 time=168 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=21 ttl=64 time=200 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=22 ttl=64 time=35.8 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=22 ttl=64 time=80.0 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=22 ttl=64 time=149 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=22 ttl=64 time=182 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=23 ttl=64 time=81.6 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=23 ttl=64 time=110 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=23 ttl=64 time=159 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=23 ttl=64 time=200 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=24 ttl=64 time=30.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=24 ttl=64 time=59.5 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=24 ttl=64 time=103 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=24 ttl=64 time=130 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=25 ttl=64 time=48.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=25 ttl=64 time=108 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=25 ttl=64 time=152 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=25 ttl=64 time=187 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=26 ttl=64 time=130 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=26 ttl=64 time=163 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=26 ttl=64 time=179 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=26 ttl=64 time=227 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=27 ttl=64 time=115 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=27 ttl=64 time=160 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=27 ttl=64 time=193 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=27 ttl=64 time=236 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=28 ttl=64 time=141 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=28 ttl=64 time=168 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=28 ttl=64 time=202 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=28 ttl=64 time=224 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=29 ttl=64 time=87.1 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=29 ttl=64 time=144 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=29 ttl=64 time=159 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=29 ttl=64 time=210 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=30 ttl=64 time=56.5 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=30 ttl=64 time=83.7 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=30 ttl=64 time=110 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=30 ttl=64 time=177 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=31 ttl=64 time=84.5 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=31 ttl=64 time=134 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=31 ttl=64 time=158 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=31 ttl=64 time=182 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=32 ttl=64 time=60.4 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=32 ttl=64 time=121 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=32 ttl=64 time=129 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=32 ttl=64 time=199 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=33 ttl=64 time=41.8 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=33 ttl=64 time=82.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=33 ttl=64 time=111 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=33 ttl=64 time=179 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=36 ttl=64 time=109 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=36 ttl=64 time=122 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=36 ttl=64 time=197 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=36 ttl=64 time=247 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=38 ttl=64 time=91.7 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=38 ttl=64 time=95.2 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=38 ttl=64 time=152 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=38 ttl=64 time=212 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=39 ttl=64 time=159 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=39 ttl=64 time=194 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=39 ttl=64 time=261 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=40 ttl=64 time=51.4 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=40 ttl=64 time=91.1 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=40 ttl=64 time=168 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=40 ttl=64 time=189 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=41 ttl=64 time=65.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=41 ttl=64 time=93.2 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=41 ttl=64 time=153 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=41 ttl=64 time=218 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=42 ttl=64 time=28.1 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=42 ttl=64 time=112 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=42 ttl=64 time=153 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=42 ttl=64 time=232 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=43 ttl=64 time=66.2 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=43 ttl=64 time=150 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=43 ttl=64 time=196 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=44 ttl=64 time=87.1 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=44 ttl=64 time=155 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=44 ttl=64 time=192 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=44 ttl=64 time=214 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=45 ttl=64 time=60.9 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=45 ttl=64 time=98.0 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=45 ttl=64 time=100 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=45 ttl=64 time=160 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=46 ttl=64 time=62.9 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=46 ttl=64 time=69.5 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=46 ttl=64 time=100 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=46 ttl=64 time=165 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=47 ttl=64 time=61.9 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=47 ttl=64 time=108 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=47 ttl=64 time=159 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=47 ttl=64 time=193 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=48 ttl=64 time=42.1 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=48 ttl=64 time=105 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=48 ttl=64 time=157 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=48 ttl=64 time=217 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=49 ttl=64 time=40.6 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=49 ttl=64 time=91.5 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=49 ttl=64 time=143 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=49 ttl=64 time=165 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=50 ttl=64 time=34.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=50 ttl=64 time=83.6 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=50 ttl=64 time=128 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=50 ttl=64 time=185 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=51 ttl=64 time=68.4 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=51 ttl=64 time=84.1 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=51 ttl=64 time=124 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=51 ttl=64 time=178 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=52 ttl=64 time=83.9 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=52 ttl=64 time=160 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=52 ttl=64 time=213 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=52 ttl=64 time=248 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=53 ttl=64 time=66.5 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=53 ttl=64 time=108 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=53 ttl=64 time=161 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=53 ttl=64 time=196 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=54 ttl=64 time=39.3 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=54 ttl=64 time=55.8 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=54 ttl=64 time=156 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=54 ttl=64 time=211 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=55 ttl=64 time=34.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=55 ttl=64 time=81.5 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=55 ttl=64 time=105 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=55 ttl=64 time=172 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=56 ttl=64 time=92.6 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=56 ttl=64 time=167 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=56 ttl=64 time=204 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=56 ttl=64 time=239 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=57 ttl=64 time=30.8 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=57 ttl=64 time=52.9 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=57 ttl=64 time=135 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=57 ttl=64 time=187 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=58 ttl=64 time=146 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=59 ttl=64 time=164 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=59 ttl=64 time=202 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=59 ttl=64 time=244 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=60 ttl=64 time=164 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=60 ttl=64 time=173 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=60 ttl=64 time=210 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=61 ttl=64 time=71.9 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=61 ttl=64 time=98.3 ms
108 bytes from fd31:9326:2ca1:b79e:1189:91dc:7ca5:77c7: icmp_seq=61 ttl=64 time=116 ms
108 bytes from fd31:9326:2ca1:b79e:888d:275:6329:41cc: icmp_seq=61 ttl=64 time=227 ms
108 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=62 ttl=64 time=70.6 ms
108 bytes from fd31:9326:2ca1:b79e:e776:b4ee:5770:d7b9: icmp_seq=62 ttl=64 time=96.2 ms
