quang.nguyen@raspberrypi:~ $ ping -6 -t 1 -I wpan0 fd31:9326:2ca1:b79e:c357:29:54a3:d428 -s 200
PING fd31:9326:2ca1:b79e:c357:29:54a3:d428(fd31:9326:2ca1:b79e:c357:29:54a3:d428) from fdaa:fb3:4d49:1:8a41:7df0:abb3:3811 wpan0: 200 data bytes
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=1 ttl=64 time=37.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=2 ttl=64 time=65.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=3 ttl=64 time=38.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=4 ttl=64 time=43.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=5 ttl=64 time=43.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=6 ttl=64 time=40.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=7 ttl=64 time=41.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=8 ttl=64 time=47.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=9 ttl=64 time=39.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=10 ttl=64 time=64.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=11 ttl=64 time=45.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=12 ttl=64 time=73.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=13 ttl=64 time=39.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=14 ttl=64 time=81.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=15 ttl=64 time=77.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=16 ttl=64 time=152 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=17 ttl=64 time=56.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=18 ttl=64 time=43.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=19 ttl=64 time=73.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=20 ttl=64 time=77.3 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=21 ttl=64 time=67.6 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=22 ttl=64 time=57.8 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=23 ttl=64 time=53.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=24 ttl=64 time=49.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=25 ttl=64 time=52.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=26 ttl=64 time=70.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=27 ttl=64 time=55.2 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=28 ttl=64 time=44.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=29 ttl=64 time=49.5 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=30 ttl=64 time=64.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=31 ttl=64 time=57.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=32 ttl=64 time=52.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=33 ttl=64 time=63.0 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=34 ttl=64 time=42.7 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=35 ttl=64 time=55.4 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=36 ttl=64 time=62.9 ms
208 bytes from fd31:9326:2ca1:b79e:c357:29:54a3:d428: icmp_seq=37 ttl=64 time=51.6 ms
